ANSI,Stato,Capitale,Somma di Popolazione
AK,Alaska,Juneau,733391
AL,Alabama,Montgomery,5024279
AR,Arkansas,Little Rock,3011524
AZ,Arizona,Phoenix,7151502
CA,California,Sacramento,39538223
CO,Colorado,Denver,5773714
CT,Connecticut,Hartford,3605944
DC,District of Columbia,Washington D.C,689545
DE,Delaware,Dover,989948
FL,Florida,Tallahassee,21538187
GA,Georgia,Atlanta,10711908
HI,Hawaii,Honolulu,1455271
IA,Iowa,Des Moines,3190369
ID,Idaho,Boise,1839106
IL,Illinois,Springfield,12812508
IN,Indiana,Indianapolis,6785528
KS,Kansas,Topeka,2937880
KY,Kentucky,Frankfort,4505836
LA,Louisiana,Baton Rouge,4657757
MA,Massachusetts,Boston,7029917
MD,Maryland,Annapolis,6177224
ME,Maine,Augusta,1362359
MI,Michigan,Lansing,10077331
MN,Minnesota,Saint Paul,5706494
MO,Missouri,Jefferson City,6154913
MS,Mississippi,Jackson,2961279
MT,Montana,Helena,1084225
NC,North Carolina,Raleigh,10439388
ND,North Dakota,Bismarck,779094
NE,Nebraska,Lincoln,1961504
NH,New Hampshire,Concord,1377529
NJ,New Jersey,Trenton,9288994
NM,New Mexico,Santa Fe,2117522
NV,Nevada,Carson City,3104614
NY,New York,Albany,20201249
OH,Ohio,Columbus,11799448
OK,Oklahoma,Oklahoma City,3959353
OR,Oregon,Salem,4237256
PA,Pennsylvania,Harrisburg,13002700
RI,Rhode Island,Providence,1097379
SC,South Carolina,Columbia,5118425
SD,South Dakota,Pierre,886667
TN,Tennessee,Nashville,6910840
TX,Texas,Austin,29145505
UT,Utah,Salt Lake City,3271616
VA,Virginia,Richmond,8631393
VT,Vermont,Montpelier,643077
WA,Washington,Olympia,7705281
WI,Wisconsin,Madison,5893718
WV,West Virginia,Charleston,1793716
WY,Wyoming,Cheyenne,576851
